Train_ID,SALARY,POSITION,TEAM,Age,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
1,2.48953,PF,Houston Rockets,22,76,2078,19.1,0.577,9.2,18.5,14.1,7,1.3,3.5,8.2,18.3,119,105,4.6,2.7,7.3
2,2.433333,PG,Utah Jazz,24,73,1490,13.2,0.51,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19,105,109,1.2,1.2,2.3
3,20.158622,SF,Oklahoma City Thunder,25,81,3122,29.8,0.635,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,123,104,14.8,4.4,19.2
4,12.404495,PG,Houston Rockets,26,62,2222,19,0.554,1.9,8.5,5.2,38.2,2.2,0.3,16.9,22.7,113,110,4.8,1.5,6.3
5,1.5,PG,Brooklyn Nets,21,48,489,8.3,0.446,2.6,7.3,5,20.4,2.7,0.2,20.9,17.4,90,110,-0.4,0.3,-0.1
6,2.85494,PF,Miami Heat,33,46,653,10.5,0.523,8.4,24.7,16.8,2.9,0.9,2,12.7,13.9,104,105,0.3,0.8,1.1
7,1.25244,SF,Detroit Pistons,22,43,395,6.7,0.46,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,93,108,-0.2,0.3,0.2
8,6.3,PG,Brooklyn Nets,30,80,2252,11.5,0.498,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,102,110,0.9,1.4,2.3
9,15.514031,SG,New Orleans Pelicans,25,64,2057,14.9,0.54,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,105,113,2,0.5,2.5
10,12,PG,Toronto Raptors,27,79,2862,20.1,0.567,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,118,106,8.4,3.3,11.7
11,3.553917,SF,Toronto Raptors,22,81,2159,12,0.553,2.3,11.3,6.8,6.1,1.5,1,10,18.6,107,107,2,2.2,4.2
12,6.27,SG,Detroit Pistons,26,77,2556,14.7,0.601,1.3,6.9,4.1,8.5,2.1,0.1,9.9,19.1,112,113,3.8,0.7,4.5
13,4.44,PF,Washington Wizards,28,69,1376,18.2,0.552,10.2,24,16.9,8.2,1.2,3.4,10.9,19,113,105,2.3,1.8,4.1
14,13,C,Washington Wizards,31,53,1560,16.6,0.53,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24,102,103,0.8,2.4,3.2
15,5.746479,SG,Atlanta Hawks,32,71,2408,13.5,0.653,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,118,108,3.9,2,5.9
16,15.85195,PG,Washington Wizards,23,82,2980,19.5,0.524,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,106,104,4,4,7.9
17,2.16516,C,Boston Celtics,22,70,1400,15.2,0.546,11,18.8,14.8,13.1,1.3,1.5,16,21,107,107,1.5,1.4,2.9
18,1.185784,SF,Brooklyn Nets,26,54,768,9.1,0.466,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,92,107,-0.4,0.8,0.3
19,4.236287,PG,Portland Trail Blazers,23,82,2937,18.6,0.568,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25,116,110,7.8,1.8,9.6
20,9.75625,C,Atlanta Hawks,29,59,1271,16.5,0.572,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,114,102,2.3,2.1,4.3
21,2.380593,PF,Orlando Magic,24,76,1174,9.9,0.489,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,95,108,-0.4,1,0.6
22,22.359364,C,Houston Rockets,28,71,2396,21.3,0.6,11.4,27.9,20.1,9.3,1.2,4,17.5,24,109,101,4,4.1,8
23,7.5,C,San Antonio Spurs,31,79,1974,14.1,0.578,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17,109,104,2.3,2.6,4.9
24,5.219169,SF,Los Angeles Lakers,28,64,1810,16,0.564,1.7,8.1,4.9,9,1.2,0.5,8.6,26.8,107,114,2.3,0.3,2.5
25,4,PF,New York Knicks,22,78,1820,11.5,0.524,4.3,15.8,10,4.7,1.3,0.9,11.3,16.2,105,109,1.3,1.3,2.6
26,6.5,C,Detroit Pistons,27,53,491,9.7,0.467,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,97,105,-0.1,0.6,0.6
27,7.44876,C,Chicago Bulls,33,60,1884,19.3,0.522,7,25.9,16.4,18.7,0.7,3.5,12.4,26.4,102,108,1.3,1.7,3
28,4.5,SG,Chicago Bulls,33,82,2584,12.6,0.549,2.1,13,7.6,12.3,1.3,1.4,11.3,17,108,102,2.4,4.1,6.5
29,3.333333,PF,Atlanta Hawks,25,80,1482,15.3,0.559,4.9,17.2,11.1,8.9,1,0.4,10.3,23.5,105,108,1.3,1.2,2.6
30,15.592217,C,Los Angeles Lakers,27,81,2409,13.5,0.499,9.9,15,12.5,6.2,0.6,5.7,14.5,19.4,100,98,0.5,5,5.4
31,2.144772,PG,Philadelphia 76ers,22,54,1564,12.6,0.494,1,9.6,5.3,44.3,1.5,0.2,25.6,16.3,101,113,0.6,0.3,0.9
32,20,SG,Miami Heat,32,54,1775,22,0.588,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,110,106,3.5,2,5.5
33,3.344,SG,Oklahoma City Thunder,28,76,1426,13.9,0.57,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,112,113,2.1,0.3,2.4
34,14.7,SG,Milwaukee Bucks,22,82,2460,12.5,0.541,2.7,12,7.2,11.7,1.8,0.7,11.9,19.1,105,113,1.9,0.8,2.7
35,9.638555,PF,Memphis Grizzlies,32,79,2705,18.3,0.51,11.6,23.3,17.4,12.7,1.1,0.7,12,26.1,105,105,2.9,3.5,6.4
36,3.950313,PG,Dallas Mavericks,29,65,2017,12.9,0.476,3.1,8.6,5.7,28.1,2.1,1.2,16.3,18.2,103,111,1.1,1.1,2.2
37,2.27904,C,Oklahoma City Thunder,20,81,1197,11.2,0.541,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,108,102,0.9,1.9,2.9
38,4.053446,PG,Dallas Mavericks,30,40,818,14.6,0.517,1.1,10.8,6,31,1.8,0.2,16.2,20.2,109,111,1.2,0.4,1.6
39,1.015421,SG,Chicago Bulls,24,79,1506,11.1,0.513,2.2,8.1,5.1,11.8,2,0.7,10.2,16.4,102,109,0.6,1.1,1.7
40,10.105855,SF,Philadelphia 76ers,31,58,1416,10,0.543,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,95,106,-0.3,1.6,1.3
41,10.151612,SF,Miami Heat,28,63,2213,15.2,0.517,5,13.4,9.2,14.6,1.5,0.3,10.4,22.3,106,107,2.2,2.3,4.5
42,2.1,PG,Cleveland Cavaliers,31,74,1834,11.8,0.507,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,102,110,1,1.2,2.2
43,4.389607,C,New Orleans Pelicans,25,56,951,14.6,0.589,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110,107,1.2,0.9,2.1
44,22.9705,SF,Cleveland Cavaliers,29,77,2902,29.3,0.649,3.6,18.9,11.5,32,2.2,0.8,14.4,31,121,105,12.3,3.7,15.9
45,2.139,PG,Washington Wizards,29,52,1114,12.5,0.53,1,8.3,4.6,13,0.8,0,11,23.8,102,113,0.6,0.3,1
46,15.49368,PF,Dallas Mavericks,30,69,2288,19.1,0.566,8.8,21.6,15.3,10.9,1,0.9,12,24.3,111,103,4.1,3.5,7.6
47,5.13843,SG,Oklahoma City Thunder,22,70,2072,14,0.508,1.7,9,5.3,18.2,1.6,0.7,12.3,26.9,99,110,0.3,1.3,1.6
48,0.981348,PF,Brooklyn Nets,22,70,873,14.1,0.502,13.1,24.6,18.9,6,1.3,1.6,14.5,19.7,102,104,0.4,1.2,1.6
49,3.135,SG,Oklahoma City Thunder,30,81,2485,13.3,0.558,1.6,8.5,5,17.7,1.3,1.2,13.2,18.8,110,111,3.3,1.3,4.6
50,5.013559,PG,Sacramento Kings,26,80,2069,16.2,0.575,2.6,7.3,5,21.9,2.2,0.6,14.3,19.7,113,107,3.8,2,5.9
51,17.120106,SF,Indiana Pacers,23,80,2898,20.1,0.555,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107,97,4.4,6.4,10.8
52,7.9,PF,Orlando Magic,26,55,1478,13.8,0.486,8,18.8,13.3,8.4,1.6,0.4,8.7,21.3,103,111,0.9,0.8,1.6
53,4.2042,C,Charlotte Hornets,21,82,1416,13.1,0.498,9.4,18.8,14.1,10.4,1.5,2.3,15,18.9,101,102,0.4,2.2,2.6
54,8,SG,New York Knicks,28,73,2552,16,0.574,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,110,112,4.3,1,5.3
55,3.815,C,Golden State Warriors,26,79,982,15.2,0.507,11.4,20.6,16.1,5.3,0.5,2.6,11.6,25.4,102,103,0.6,1.5,2.1
56,2.288205,PF,Houston Rockets,23,62,952,10.7,0.504,7.4,18.2,13.1,5.5,1,1.6,12.7,17.8,101,106,0.3,1,1.4
57,3.75,PF,Oklahoma City Thunder,33,81,1353,11.8,0.599,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,117,106,2,1.6,3.6
58,6.980802,C,Portland Trail Blazers,24,63,956,15.9,0.542,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,110,103,1.2,1.4,2.6
59,1.72425,PF,Los Angeles Lakers,22,59,1312,12.6,0.548,3.4,14.4,8.9,10.7,1.2,2.5,9.8,15.9,110,111,1.5,0.7,2.2
60,4.3,PG,Memphis Grizzlies,27,73,2178,14,0.567,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,108,106,2.4,2.5,4.8
61,2.170465,PG,Washington Wizards,27,82,2214,16,0.539,1.9,8.6,5.2,25.7,1.2,0.3,13.5,22.7,108,111,3.1,1.2,4.3
62,8,SG,Milwaukee Bucks,26,52,1346,11.2,0.516,2,8.8,5.3,14.6,1.1,0.8,13.9,23,98,115,0,0,0.1
63,12.7,PG,Minnesota Timberwolves,23,82,2638,15.4,0.491,2.5,11.9,7.1,37.8,3.6,0.3,21.8,16.4,106,104,2.2,3.6,5.9
64,22.875,SF,New York Knicks,29,77,2982,24.4,0.561,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,113,108,8.1,2.5,10.7
65,1.362897,C,Brooklyn Nets,28,42,1257,14.5,0.51,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,103,110,0.8,0.7,1.5
66,1.015421,SG,Los Angeles Clippers,23,60,1019,12.7,0.507,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,102,106,0.4,1.1,1.6
67,15.501,SG,Golden State Warriors,23,81,2868,14.3,0.555,1.5,7.9,4.7,10.2,1.3,1,9.2,22.6,108,106,3.5,3.2,6.7
68,0.947276,C,New Orleans Pelicans,29,62,1207,6.3,0.474,8,19.9,14.2,7.6,1.1,2.2,28.8,11.5,88,104,-0.9,1.7,0.8
69,1.95396,SF,Milwaukee Bucks,19,77,1897,10.8,0.518,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15,99,110,0.1,1.1,1.2
70,8.19303,SF,Houston Rockets,28,77,2723,15.8,0.59,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,113,104,4.3,3.7,8
71,2.170465,PG,Memphis Grizzlies,31,41,643,12.7,0.523,1.8,9.2,5.4,28,1.9,0.5,19.7,17.2,105,111,0.5,0.3,0.8
72,4,C,Indiana Pacers,26,72,1500,19.3,0.579,13.8,24.3,19,5.9,0.9,3.1,11.1,19.7,115,108,3.1,1.3,4.4
73,4.775,PF,Utah Jazz,26,72,1553,15,0.563,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,114,104,2.3,2,4.3
74,8.5,PF,Minnesota Timberwolves,37,54,1109,13.3,0.467,6.5,32.1,19.3,12.4,2,3,15.5,18.9,93,101,-0.7,1.9,1.2
75,19.688,C,Memphis Grizzlies,29,59,1970,18.2,0.526,5,20.5,12.7,17.7,1.6,3.2,12,21.7,108,102,2.6,3.1,5.6
76,9.45,SF,Memphis Grizzlies,27,82,2805,13.1,0.52,2.1,13.6,7.7,8.4,1,1.3,11.1,23.6,102,109,1.3,2,3.3
77,4,SG,Washington Wizards,31,78,1773,9.5,0.525,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,103,111,0.8,0.9,1.7
78,6.486486,PG,Houston Rockets,25,56,1751,12.4,0.545,4.9,7.4,6.2,12.8,2.2,1,11.2,14.8,115,108,2.7,1.6,4.2
79,19.689,PF,San Antonio Spurs,28,69,2498,21.8,0.507,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,108,104,4,3.5,7.5
80,3.272091,C,Detroit Pistons,20,81,2619,22.6,0.599,17.5,27.7,22.3,2.2,2,4,10.7,16.7,121,104,6.4,3.5,9.9
81,8.333334,PF,Dallas Mavericks,35,80,2628,23.6,0.603,1.8,20,10.9,14.2,1.4,1.4,7.5,26.9,120,108,8.6,2.3,10.9
82,1.5,SG,Brooklyn Nets,26,45,393,12.2,0.554,2.4,10.2,6.3,7.1,2.1,0.4,7.8,16.4,110,110,0.4,0.2,0.7
83,4.394225,SF,Indiana Pacers,26,51,984,16,0.569,2,9.9,5.9,9.1,2.4,1.3,9.1,22,111,107,1.5,0.9,2.5
84,0.947276,PF,Charlotte Hornets,28,64,978,14.2,0.562,14.2,20,17.1,2.7,1.5,1.6,14.5,15.1,116,104,1.7,1.4,3
85,2.109294,C,Milwaukee Bucks,25,80,1964,14.6,0.529,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,104,104,1.2,2.8,4
86,0.947726,PG,Los Angeles Clippers,36,66,1283,13,0.642,3.2,8.8,5.9,25.6,2.8,0.1,23.4,9.3,127,110,2.5,0.9,3.4
87,2.288205,SG,Orlando Magic,21,76,1503,10.3,0.533,2.4,12.1,7.3,11.6,1.1,0.3,14.3,19.7,101,111,0.6,0.8,1.4
88,3.034356,SG,Charlotte Hornets,21,78,1538,13.4,0.522,2.1,11.3,6.9,11.8,1.8,1.4,8.7,20.1,106,105,1.4,1.8,3.3
89,8.988765,SG,Cleveland Cavaliers,23,74,1962,9.6,0.48,4.7,14,9.2,9.8,2.5,0.6,13.3,14.1,100,108,0.4,1.6,2
90,4.088019,SG,Memphis Grizzlies,37,81,1973,15.9,0.539,4,12.6,8.3,16.5,1.6,1.5,10.7,23.1,109,110,3,1.3,4.3
91,14.26087,C,Cleveland Cavaliers,22,82,2594,14.9,0.528,11.4,21.5,16.3,4.5,0.8,1.1,10.6,17.5,110,108,3.4,2.3,5.7
92,10,SG,San Antonio Spurs,26,68,1651,13.9,0.58,1.8,13.4,7.8,8.9,2,2.7,12.5,16.7,107,101,1.4,2.8,4.2
93,7,PF,Charlotte Hornets,27,66,1674,14,0.54,5.5,17.9,11.5,7.7,1.7,1.5,8.7,16.7,110,110,1.9,1,2.9
94,1.17588,C,Utah Jazz,21,45,434,12.9,0.507,13.1,28.5,20.6,2.4,1,7.4,23.8,14.2,94,104,-0.2,0.6,0.4
95,15.756438,SG,Houston Rockets,24,73,2777,23.5,0.618,2.6,10.7,6.9,27.3,2.1,0.8,15,27.8,120,107,10.1,2.7,12.8
96,2.814,SG,San Antonio Spurs,36,68,1550,20,0.59,2.3,12,7.3,29,2.3,0.8,16.4,24.7,112,103,3.3,2.4,5.7
97,1.449187,SF,Sacramento Kings,33,56,1419,12.2,0.512,1.7,16.8,9.2,9.6,1.7,1,9.5,20.1,102,108,0.6,1.2,1.8
98,1.32,SF,New Orleans Pelicans,26,65,1020,8.6,0.491,3.8,12.8,8.2,6.9,2,1.2,14.3,13.4,97,107,-0.1,1,0.9
99,3.75,PF,New York Knicks,23,69,1188,16.5,0.526,9.5,25.2,17.3,10.9,1.7,5.8,16.1,18.6,102,101,0.5,2,2.5
100,2.85494,SG,Chicago Bulls,33,73,2116,10.8,0.494,1.7,8.5,5.2,22.6,2,1,15.1,17.3,100,102,0.4,3.3,3.8
101,2.39904,PG,Milwaukee Bucks,22,70,2414,15.5,0.48,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,96,108,-0.8,2.1,1.3
102,19.689,PF,Cleveland Cavaliers,25,77,2797,26.9,0.591,8.5,29.5,18.7,21.4,1,1,10.3,28.8,120,104,10.6,3.7,14.3
103,12.403101,SF,Sacramento Kings,27,73,2531,18.3,0.54,5,14.8,9.8,15.1,1.9,1.8,14.2,27.6,104,107,2.3,2.5,4.8
104,13.5,C,Charlotte Hornets,29,73,2553,22.7,0.532,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,105,100,3.1,4.7,7.8
105,1.015421,SG,Sacramento Kings,24,80,2309,10.9,0.53,2.7,11.7,7,9.9,1.6,1,12.2,15.9,102,112,0.9,0.9,1.9
106,4.5,SF,Oklahoma City Thunder,25,82,2337,11.8,0.574,5.2,9.2,7.1,4.7,1.3,1.3,10.4,14,117,113,3.6,0.7,4.4
107,5,PF,Boston Celtics,26,64,741,13.4,0.577,7.2,19.3,12.9,7.8,1.4,0.6,15.5,16,111,110,1,0.5,1.4
108,5.6135,SF,Washington Wizards,27,78,2157,11.5,0.591,2,10.1,6,6.7,1,0.6,8.3,14.7,116,108,3.3,1.7,5
109,0.111444,C,Memphis Grizzlies,29,61,482,11.9,0.73,7.4,13.1,10.4,2.4,0.9,4.9,23.1,11.5,117,105,0.7,0.6,1.3
110,5,PF,Memphis Grizzlies,35,72,1396,18.5,0.683,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,130,102,3.8,2.2,6
111,2.038206,SF,Boston Celtics,22,62,764,10.1,0.541,4.3,12.1,8.4,4.9,0.9,2,9.5,12.8,110,107,0.7,0.8,1.5
112,11.370786,PG,Golden State Warriors,25,78,2846,24.1,0.61,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,117,104,9.3,4,13.4
113,2.9,PF,Toronto Raptors,33,82,1399,13.4,0.505,7.2,23.4,15.7,10.4,1,0.9,14.8,23.8,96,99,-0.4,2.8,2.5
114,2.25,PG,Chicago Bulls,29,72,1557,12.5,0.518,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,105,110,1.3,0.9,2.2
115,5.675,SG,Charlotte Hornets,28,79,1973,13.8,0.574,1.7,9.5,5.6,9.3,1.7,1.2,9.9,17,113,107,2.8,1.9,4.7
116,12,PG,Charlotte Hornets,23,73,2614,16.8,0.499,1.7,11.6,6.6,29.7,1.7,1,11.6,25.8,103,105,1.8,3.3,5.1
117,8.229375,SG,Houston Rockets,27,81,2609,12.7,0.55,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,108,107,2.4,2.7,5.2
118,16.407501,PG,Cleveland Cavaliers,21,71,2496,20.1,0.533,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,109,108,4.6,2.1,6.7
119,5.158539,SG,Memphis Grizzlies,32,55,1278,15.6,0.531,7.3,12,9.6,11.7,3.8,1.2,16.2,20.1,102,101,0.5,2.1,2.7
120,1.035,PF,Phoenix Suns,24,49,642,17.6,0.566,6.8,22.4,14.6,5.2,1.5,1.7,9.2,21.1,112,103,1.1,0.9,2
121,4.345,PG,Denver Nuggets,31,68,2179,13.9,0.515,1.5,10.5,6,35.1,1.2,0.2,17.3,20.1,104,111,1.6,1.2,2.8
122,5.543725,PF,Miami Heat,26,78,2360,13.8,0.548,4,13.8,8.9,21.9,1.3,1.5,12.1,13.4,115,105,3.5,3,6.5
123,3.1566,SG,Sacramento Kings,20,82,2187,7.7,0.485,2.7,9.5,6.1,5.8,1,0.7,11.5,16.9,97,112,-0.1,0.9,0.8
124,8,PF,Washington Wizards,24,81,2153,18.4,0.564,7.3,18,12.6,10.9,1.6,1.8,12.9,23.2,111,106,4,2.4,6.4
125,8.193029,PF,Orlando Magic,30,82,2312,13.2,0.555,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,111,107,2.9,2.4,5.3
126,10.734586,SG,New Orleans Pelicans,24,72,2028,18.4,0.504,4.3,15.4,9.8,30.4,2.2,0.9,14.5,27.1,103,110,1.8,1.3,3.1
